listing_id,WIC,SNAP,longitude,latitude,location_address,listing_name,fm_bool,csa_bool,om_bool,Farmer Market Type,Benefit Type,Block_FIPS,bbox,county_name,County_FIPS,State_FIPS,State_name,geometry
300019,1.0,1.0,-73.994358,40.404837,"71 Waterwitch Avenue, Highlands, New Jersey 07732",26th Annual Highlands Business Partnership's Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,340258001011017.0,"[-73.995419, 40.404417, -73.993811, 40.405467]",Monmouth County,34025.0,NJ,New Jersey,POINT (-73.994358 40.404837)
300020,1.0,1.0,-97.806683,30.469036,"Lakeline Mall parking lot, behind Sears & Dillard's, Cedar Park, Texas 78613",Texas Farmers' Market at Lakeline,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,484910203341001.0,"[-97.811349, 30.464729, -97.802065, 30.476827]",Williamson County,48491.0,TX,Texas,POINT (-97.806683 30.469036)
300024,0.0,1.0,-79.285443,37.36437,"15583 Forest Road, Forest, Virginia 24551",Forest farmers market,1.0,0.0,0.0,Farmers' Market,SNAP,510190301032017.0,"[-79.287701, 37.36145, -79.281593, 37.365942]",Bedford County,51019.0,VA,Virginia,POINT (-79.285443 37.36437)
300025,1.0,1.0,-88.202341,44.503625,"N7332 Water Circle Place, Oneida, Wisconsin 54155",Oneida Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,550879400001026.0,"[-88.202424, 44.502991, -88.199974, 44.504994]",Outagamie County,55087.0,WI,Wisconsin,POINT (-88.202341 44.503625)
300026,1.0,1.0,-78.683173,33.827655,"925 First Avenue South, North Myrtle Beach, South Carolina 29582",North Myrtle Beach Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,450510403001057.0,"[-78.684404, 33.825675, -78.681894, 33.827998]",Horry County,45051.0,SC,South Carolina,POINT (-78.683173 33.827655)
300028,1.0,1.0,-90.667327,35.840771,"3300 Aggie Road, Jonesboro, Arkansas 72401",ASU Regional Farmers' Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,50310005022016.0,"[-90.667824, 35.840576, -90.661004, 35.854988]",Craighead County,5031.0,AR,Arkansas,POINT (-90.667327 35.840771)
300030,1.0,1.0,-122.6877,45.499865,"Mailcode L338, 3181 SW Sam Jackson Park Rd, Portland, Oregon 97239",OHSU Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,410510058002009.0,"[-122.70145, 45.495377, -122.683948, 45.503944]",Multnomah County,41051.0,OR,Oregon,POINT (-122.6877 45.499865)
300031,1.0,1.0,-95.338882,41.645926,"Hwys 44 and 59, Harlan, Iowa 51537",Shelby County Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,191659603002026.0,"[-95.339482, 41.638873, -95.32558, 41.646056]",Shelby County,19165.0,IA,Iowa,POINT (-95.338882 41.645926)
300033,1.0,1.0,-72.923264,41.810819,"Main St. and Route 179, Collinsville, Connecticut 06019",Collinsville Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,90034641023021.0,"[-72.923364, 41.810468, -72.922194, 41.811404]",Hartford County,9003.0,CT,Connecticut,POINT (-72.923264 41.810819)
300034,1.0,1.0,-94.880609,47.469337,"Union Square Parking Lot--2nd Street & Paul Bunyan Drive, Bemidji, Minnesota 56601",Bemidji's Natural Choice Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,270074507044027.0,"[-94.882714, 47.46322, -94.871153, 47.469499]",Beltrami County,27007.0,MN,Minnesota,POINT (-94.880609 47.469337)
300035,1.0,1.0,-112.5364,46.01269,"Uptown Butte, Butte, Montana 59701",Butte Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,300930001022026.0,"[-112.537944, 46.011915, -112.535479, 46.012842]",Silver Bow County,30093.0,MT,Montana,POINT (-112.5364 46.01269)
300036,0.0,0.0,-112.11759,46.239153,"304 N. Main Street, Boulder, Montana 59632",Boulder Farmers and Artisan's Market,1.0,0.0,0.0,Farmers' Market,No SNAP Benefit ; No WIC Benefit,300439622023077.0,"[-112.118864, 46.237137, -112.116506, 46.239517]",Jefferson County,30043.0,MT,Montana,POINT (-112.11759 46.239153)
300037,1.0,1.0,-122.16118,38.046215,"First Street between B & D Streets, Benicia, California 94510",Benica Certified Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,60952520002015.0,"[-122.165278, 38.044101, -122.160347, 38.047754]",Solano County,6095.0,CA,California,POINT (-122.16118 38.046215)
300039,0.0,1.0,-74.221654,39.753903,"14 Birdsall St., Barnegat, New Jersey 08005",Barnegat Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP,340297340021034.0,"[-74.223074, 39.752471, -74.21991, 39.755615]",Ocean County,34029.0,NJ,New Jersey,POINT (-74.221654 39.753903)
300040,0.0,0.0,-84.598559,43.292319,"Center & Pine River Street, Ithaca, Michigan 48847",Ithaca Farmers Market,1.0,0.0,0.0,Farmers' Market,No SNAP Benefit ; No WIC Benefit,260570010003035.0,"[-84.599472, 43.29165, -84.597651, 43.293002]",Gratiot County,26057.0,MI,Michigan,POINT (-84.598559 43.292319)
300041,1.0,1.0,-89.470061,43.076159,"750 University Row, Madison, Wisconsin 53705",Westside Community Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,550250001002003.0,"[-89.481244, 43.074147, -89.467475, 43.082692]",Dane County,55025.0,WI,Wisconsin,POINT (-89.470061 43.076159)
300043,1.0,0.0,-95.228044,41.009641,"307 East Reed Street, Red Oak, Iowa 51566",Red Oak Farmers Market,1.0,0.0,0.0,Farmers' Market,WIC,191379603002157.0,"[-95.229144, 41.008912, -95.227958, 41.009716]",Montgomery County,19137.0,IA,Iowa,POINT (-95.228044 41.009641)
300044,0.0,1.0,-78.92836,36.76317,"209 South Main Street, Halifax, Virginia 24558",Halifax Market Place & Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP,510839306022015.0,"[-78.928612, 36.761517, -78.916752, 36.768796]",Halifax County,51083.0,VA,Virginia,POINT (-78.92836 36.76317)
300046,1.0,0.0,-88.31701,42.243752,"Depot Park, Woodstock & Williams Streets, Crystal Lake, Illinois 60014",Crystal Lake Farmers Market,1.0,0.0,0.0,Farmers' Market,WIC,171118708082032.0,"[-88.318181, 42.243292, -88.3161, 42.2447]",McHenry County,17111.0,IL,Illinois,POINT (-88.31701 42.243752)
300047,0.0,0.0,-77.373338,35.611005,"Fifth Street and Evans Street, Greenville, North Carolina 27858",Uptown Greenville Umbrella Market,1.0,0.0,0.0,Farmers' Market,No SNAP Benefit ; No WIC Benefit,371470001013036.0,"[-77.375404, 35.609987, -77.373041, 35.611514]",Pitt County,37147.0,NC,North Carolina,POINT (-77.373338 35.611005)
300048,0.0,0.0,-73.930027,42.649656,"68 Maple Ave., Voorheesville, New York 12186",Voorheesville Farmers Market,1.0,0.0,0.0,Farmers' Market,No SNAP Benefit ; No WIC Benefit,360010145032009.0,"[-73.930686, 42.64833, -73.926929, 42.650358]",Albany County,36001.0,NY,New York,POINT (-73.930027 42.649656)
300049,1.0,0.0,-91.472878,43.260191,"850 Rossville Road, Waukon, Iowa 52172",Waukon Farmers Market,1.0,0.0,0.0,Farmers' Market,WIC,190059603003043.0,"[-91.473527, 43.254751, -91.466025, 43.262227]",Allamakee County,19005.0,IA,Iowa,POINT (-91.472878 43.260191)
300050,1.0,1.0,-75.225983,43.096382,"Chancellor Park, Elizabeth St., Utica, New York 13501",Utica Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,360650210002011.0,"[-75.227192, 43.09567, -75.224771, 43.097095]",Oneida County,36065.0,NY,New York,POINT (-75.225983 43.096382)
300053,0.0,1.0,-78.741263,42.164734,"768 Broad st, Salamanca, New York 14779",Salamanca Farmers market,1.0,0.0,0.0,Farmers' Market,SNAP,360099403011019.0,"[-78.742501, 42.161932, -78.722681, 42.165654]",Cattaraugus County,36009.0,NY,New York,POINT (-78.741263 42.164734)
300055,1.0,1.0,-78.053508,42.234077,"5429 State Route 19N, Belmont, New York 14813",Belmont Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,360039506004008.0,"[-78.074012, 42.230175, -78.050009, 42.251854]",Allegany County,36003.0,NY,New York,POINT (-78.053508 42.234077)
300057,1.0,1.0,-117.71641,34.095598,"Harvard Avenue Between Bonita and First Streets, Claremont, California 91711",Claremont Farmers & Artisans Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,60374019021042.0,"[-117.717133, 34.094694, -117.716393, 34.095643]",Los Angeles County,6037.0,CA,California,POINT (-117.71641 34.095598)
300063,0.0,1.0,-80.169243,26.03026,"1940 North 30th Road, Hollywood, Florida 33021",Yellow Green Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP,120110908024002.0,"[-80.175314, 26.025711, -80.168166, 26.033165]",Broward County,12011.0,FL,Florida,POINT (-80.169243 26.03026)
300066,1.0,1.0,-83.113549,41.345408,"Front Street and Garrison Street, Fremont, Ohio 43420",Croghan Colonial Bank Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,391439614001011.0,"[-83.11355, 41.345408, -83.112493, 41.346509]",Sandusky County,39143.0,OH,Ohio,POINT (-83.113549 41.345408)
300068,0.0,1.0,-81.804266,41.484539,"15425 Detroit, Lakewood, Ohio 44107",Lakewood Earth and Food (LEAF) Community Farmers' Market,1.0,0.0,0.0,Farmers' Market,SNAP,390351612001002.0,"[-81.805028, 41.479183, -81.803608, 41.485088]",Cuyahoga County,39035.0,OH,Ohio,POINT (-81.804266 41.484539)
300075,1.0,1.0,-85.614175,45.129668,"105 S. Bay Street, Northport, Michigan 49670",Northport Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,260899701002022.0,"[-85.616666, 45.121753, -85.6137, 45.129744]",Leelanau County,26089.0,MI,Michigan,POINT (-85.614175 45.129668)
300076,1.0,1.0,-85.647075,44.980186,"Intersection of M22 & M204, Suttons Bay, Michigan 49682",Suttons Bay Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,260899702021021.0,"[-85.648148, 44.9791, -85.646172, 44.980553]",Leelanau County,26089.0,MI,Michigan,POINT (-85.647075 44.980186)
300077,1.0,1.0,-85.986905,44.897978,"6394 Western Ave., Glen Arbor, Michigan 49636",Glen Arbor Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,260899704001004.0,"[-85.988924, 44.89771, -85.976028, 44.905494]",Leelanau County,26089.0,MI,Michigan,POINT (-85.986905 44.897978)
300078,1.0,1.0,-85.759459,45.022857,"River Street, Leland, Michigan 49654",Leland Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,260899703001045.0,"[-85.760162, 45.022729, -85.758705, 45.023931]",Leelanau County,26089.0,MI,Michigan,POINT (-85.759459 45.022857)
300079,1.0,1.0,-86.063056,44.811224,"10234 Front Street, Empire, Michigan 49630",Empire Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,260899704002026.0,"[-86.063629, 44.811025, -86.062852, 44.811881]",Leelanau County,26089.0,MI,Michigan,POINT (-86.063056 44.811224)
300080,0.0,0.0,-78.44106,38.1087,"1650 Ashwood Blvd., Charlottesville, Virginia 22911",Forest Lakes Farmers Market,1.0,0.0,0.0,Farmers' Market,No SNAP Benefit ; No WIC Benefit,510030103033001.0,"[-78.441986, 38.106063, -78.429808, 38.115837]",Albemarle County,51003.0,VA,Virginia,POINT (-78.44106 38.1087)
300081,0.0,0.0,-76.764414,39.316055,"7500 Security Blvd., Woodlawn, Maryland 21244",CMS Farmers Market,1.0,0.0,0.0,Farmers' Market,No SNAP Benefit ; No WIC Benefit,240054015061001.0,"[-76.768895, 39.315067, -76.759984, 39.321094]",Baltimore County,24005.0,MD,Maryland,POINT (-76.764414 39.316055)
300084,1.0,1.0,-83.738212,43.344313,"534 North Main Street, Frankenmuth, Michigan 48734",Frankenmuth Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,261450113023014.0,"[-83.73828, 43.34302, -83.728185, 43.350332]",Saginaw County,26145.0,MI,Michigan,POINT (-83.738212 43.344313)
300086,0.0,0.0,-122.1841,37.450822,"Chestnut & Menlo Avenues, Menlo Park, California 94025",Menlo Park Farmers' Market,1.0,0.0,0.0,Farmers' Market,No SNAP Benefit ; No WIC Benefit,60816126003018.0,"[-122.185187, 37.450214, -122.183468, 37.451509]",San Mateo County,6081.0,CA,California,POINT (-122.1841 37.450822)
300088,1.0,1.0,-70.717317,42.098148,"140 Main St  (Route 3A), Marshfield, Massachusetts 02050",Marshfield Farmer's Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,250235061032013.0,"[-70.720056, 42.095805, -70.697815, 42.112909]",Plymouth County,25023.0,MA,Massachusetts,POINT (-70.717317 42.098148)
300090,0.0,0.0,-88.472514,43.013121,"118 S. Main St, Dousman, Wisconsin 53118",Dousman Farmers Market,1.0,0.0,0.0,Farmers' Market,No SNAP Benefit ; No WIC Benefit,551332040033001.0,"[-88.472914, 43.010381, -88.461096, 43.014275]",Waukesha County,55133.0,WI,Wisconsin,POINT (-88.472514 43.013121)
300091,1.0,1.0,-77.802729,35.955256,"1006 Peachtree St., Rocky Mount, North Carolina 27804",Nash County Farmers Market in Rocky Mount,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,371270104003012.0,"[-77.807465, 35.951311, -77.801424, 35.956515]",Nash County,37127.0,NC,North Carolina,POINT (-77.802729 35.955256)
300092,1.0,1.0,-135.32674,57.051519,"611 Lincoln Street, Sitka, Alaska 99835",Sitka Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,22200002004011.0,"[-135.33031, 57.051117, -135.326425, 57.052674]",Sitka City and Borough,2220.0,AK,Alaska,POINT (-135.32674 57.051519)
300093,0.0,0.0,-86.35873,41.65516,"57754 Crumstown Hwy, South Bend, Indiana 46619",Matthys Farm Market,1.0,0.0,0.0,Farmers' Market,No SNAP Benefit ; No WIC Benefit,181410109013015.0,"[-86.361284, 41.650647, -86.35083, 41.657781]",St. Joseph County,18141.0,IN,Indiana,POINT (-86.35873 41.65516)
300096,0.0,1.0,-107.03473,39.368957,"101 Midland Avenue, Basalt, Colorado 81621",Basalt Sunday Market,1.0,0.0,0.0,Farmers' Market,SNAP,80370003022028.0,"[-107.036073, 39.368219, -107.034146, 39.369045]",Eagle County,8037.0,CO,Colorado,POINT (-107.03473 39.368957)
300098,1.0,1.0,-122.29243,47.191241,"300  S Meridian (COVID operations at corner of  2nd and Main, downtown Puyallup), Puyallup, Washington 98371",Puyallup Farmers' Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,530530734071029.0,"[-122.292526, 47.190972, -122.291297, 47.191821]",Pierce County,53053.0,WA,Washington,POINT (-122.29243 47.191241)
300099,1.0,1.0,-87.668602,41.981745,"1500 W. Catalpa Ave., Chicago, Illinois 60640",Andersonville Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,170310309001000.0,"[-87.669816, 41.98165, -87.668429, 41.98349]",Cook County,17031.0,IL,Illinois,POINT (-87.668602 41.981745)
300103,1.0,1.0,-91.121067,30.399197,"6400 Perkins Road, Baton Rouge, Louisiana 70808",Red Stick Farmers Market - Thursday Year Round,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,220330026022006.0,"[-91.128899, 30.395017, -91.11828, 30.404113]",East Baton Rouge Parish,22033.0,LA,Louisiana,POINT (-91.121067 30.399197)
300104,0.0,1.0,-83.889459,42.339503,"3233 Alpine, Dexter, Michigan 48130",Dexter Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP,261614540022001.0,"[-83.890911, 42.338585, -83.883582, 42.340822]",Washtenaw County,26161.0,MI,Michigan,POINT (-83.889459 42.339503)
300108,1.0,1.0,-87.828657,42.1314024,"Cherry Lane and Meadow Road, Northbrook, Illinois 60062",Northbrook Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,170318015003039.0,"[-87.829074, 42.131375, -87.826804, 42.132713]",Cook County,17031.0,IL,Illinois,POINT (-87.828657 42.1314024)
300109,0.0,0.0,-117.2692,32.987194,"444 South Cedros Avenue, Solana Beach, California 92075",Solana Beach Farmers Market,1.0,0.0,0.0,Farmers' Market,No SNAP Benefit ; No WIC Benefit,60730173072006.0,"[-117.26971, 32.980271, -117.264375, 32.988621]",San Diego County,6073.0,CA,California,POINT (-117.2692 32.987194)
300110,1.0,1.0,-122.66477,45.417855,"Millennium Plaza Park, 200 First Street, Lake Oswego, Oregon 97034",Lake Oswego Farmers' Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,410050202011000.0,"[-122.669995, 45.416415, -122.662952, 45.419363]",Clackamas County,41005.0,OR,Oregon,POINT (-122.66477 45.417855)
300111,1.0,1.0,-91.09924,45.464998,"US Highway 8 & W. 2nd  Street, Ladysmith, Wisconsin 54848",Rusk County Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,551079605004000.0,"[-91.09955, 45.46425, -91.098235, 45.4652]",Rusk County,55107.0,WI,Wisconsin,POINT (-91.09924 45.464998)
300118,0.0,1.0,-105.865,37.467321,"Corner of 6th Street and State Avenue's Parking Lot, Alamosa, Colorado 81101",Alamosa Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP,80039602013041.0,"[-105.865487, 37.4671, -105.863819, 37.468167]",Alamosa County,8003.0,CO,Colorado,POINT (-105.865 37.467321)
300119,1.0,1.0,-76.935311,38.962979,"4650 Queensbury Road, Riverdale Park, Maryland 20737",Riverdale Park Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,240338065011009.0,"[-76.937712, 38.96263, -76.934938, 38.964015]",Prince George's County,24033.0,MD,Maryland,POINT (-76.935311 38.962979)
300120,0.0,0.0,-78.586616,36.3148277,"Corner of Lanier and McClanahan Streets, Oxford, North Carolina 27565",Oxford Farmers Market,1.0,0.0,0.0,Farmers' Market,No SNAP Benefit ; No WIC Benefit,370779702002013.0,"[-78.589515, 36.314209, -78.586557, 36.317197]",Granville County,37077.0,NC,North Carolina,POINT (-78.586616 36.3148277)
300121,0.0,1.0,-105.07865,40.387479,"700 S. Railroad, Loveland, Colorado 80537",City of Loveland Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP,80690020073039.0,"[-105.082727, 40.381813, -105.073335, 40.39043]",Larimer County,8069.0,CO,Colorado,POINT (-105.07865 40.387479)
300122,1.0,0.0,-86.862926,33.09948,"Middle Street and Island Street, MONTEVALLO, Alabama 35115",MONTEVALLO FARMERS MARKET,1.0,0.0,0.0,Farmers' Market,WIC,11170304061033.0,"[-86.863981, 33.098913, -86.862303, 33.100316]",Shelby County,1117.0,AL,Alabama,POINT (-86.862926 33.09948)
300126,1.0,1.0,-95.235146,38.950747,"1832 Massachusetts Street, Lawrence, Kansas 66044",Cottin's Hardware Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,200450002023015.0,"[-95.235903, 38.950062, -95.234701, 38.953653]",Douglas County,20045.0,KS,Kansas,POINT (-95.235146 38.950747)
300127,1.0,0.0,-85.067726,42.9814841,"South Steele Street and Adams Street, Ionia, Michigan 48846",Ionia Farmers' Market,1.0,0.0,0.0,Farmers' Market,WIC,260670317003020.0,"[-85.067889, 42.981468, -85.065525, 42.982523]",Ionia County,26067.0,MI,Michigan,POINT (-85.067726 42.9814841)
300128,1.0,1.0,-71.369892,42.363071,"397 Boston Post Road, Wayland, Massachusetts 01778",Wayland Winter Farmers' Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,250173662021032.0,"[-71.374592, 42.359392, -71.361774, 42.363331]",Middlesex County,25017.0,MA,Massachusetts,POINT (-71.369892 42.363071)
300132,0.0,1.0,-86.307641,41.34065,"Garro St., Plymouth, Indiana 46563",Plymouth Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP,180990204002015.0,"[-86.30791, 41.340025, -86.306018, 41.341058]",Marshall County,18099.0,IN,Indiana,POINT (-86.307641 41.34065)
300135,0.0,1.0,-79.8734,32.790718,"645 Coleman Boulevard, Mount Pleasant, South Carolina 29464",Mount Pleasant Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP,450190047014028.0,"[-79.874434, 32.78909, -79.868903, 32.792237]",Charleston County,45019.0,SC,South Carolina,POINT (-79.8734 32.790718)
300138,0.0,1.0,-72.44747,43.98878,"Corner of Rte 110 and Rte 113, Chelsea, Vermont 05038",Chelsea Farmers' Market,1.0,0.0,0.0,Farmers' Market,SNAP,500179595002025.0,"[-72.447803, 43.988311, -72.446238, 43.989068]",Orange County,50017.0,VT,Vermont,POINT (-72.44747 43.98878)
300141,0.0,1.0,-101.29559,48.233564,"Corner of 3rd Ave SW and Broadway, Minot, North Dakota 58701",North Prairie Farmers Market - Minot,1.0,0.0,0.0,Farmers' Market,SNAP,381010101001049.0,"[-101.295982, 48.233439, -101.294565, 48.234425]",Ward County,38101.0,ND,North Dakota,POINT (-101.29559 48.233564)
300144,1.0,1.0,-83.781146,42.165956,"S. Ann Arbor Street, Saline, Michigan 48176",Saline Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,261614236002000.0,"[-83.783448, 42.164753, -83.780594, 42.16667]",Washtenaw County,26161.0,MI,Michigan,POINT (-83.781146 42.165956)
300145,0.0,1.0,-83.785094,42.179728,"7265 Saline Ann Arbor Road, Saline, Michigan 48176",Saline Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP,261614234005012.0,"[-83.78821, 42.178857, -83.773728, 42.184267]",Washtenaw County,26161.0,MI,Michigan,POINT (-83.785094 42.179728)
300147,1.0,1.0,-80.862568,32.234811,"40 Calhoun Street, Bluffton, South Carolina 29910",Farmers Market of Bluffton,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,450130021075007.0,"[-80.863949, 32.234504, -80.862031, 32.237346]",Beaufort County,45013.0,SC,South Carolina,POINT (-80.862568 32.234811)
300148,0.0,0.0,-87.928694,41.8036543,"30 E. Chicago Ave., Hinsdale, Illinois 60521",Hinsdale Farmers Market,1.0,0.0,0.0,Farmers' Market,No SNAP Benefit ; No WIC Benefit,170438453002014.0,"[-87.929304, 41.802948, -87.927245, 41.803689]",DuPage County,17043.0,IL,Illinois,POINT (-87.928694 41.8036543)
300149,1.0,1.0,-83.074322,43.02429,"120 N Main, Imlay City, Michigan 48444",Imlay City Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,260873395001018.0,"[-83.074564, 43.023908, -83.071225, 43.025805]",Lapeer County,26087.0,MI,Michigan,POINT (-83.074322 43.02429)
300150,1.0,1.0,-82.056622,39.336038,"1002 East State Street, Athens, Ohio 45701",Athens Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,390099734001020.0,"[-82.059127, 39.334369, -82.04767, 39.341921]",Athens County,39009.0,OH,Ohio,POINT (-82.056622 39.336038)
300154,1.0,1.0,-90.667851,42.504521,"Iowa Street between 10th & 13th Streets, Dubuque, Iowa 52001",Dubuque Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,190610001003021.0,"[-90.668284, 42.504443, -90.666873, 42.505527]",Dubuque County,19061.0,IA,Iowa,POINT (-90.667851 42.504521)
300156,0.0,1.0,-80.058606,37.292997,"3 East Main Street, Salem, Virginia 24153",Salem Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP,517750102001023.0,"[-80.059057, 37.292635, -80.057727, 37.293669]",Salem city,51775.0,VA,Virginia,POINT (-80.058606 37.292997)
